,,,,,,,
,画面設計,,,,,,
,,"各画面の仕様とUIデザイン要件の詳細資料です。
アプリケーションの実装に入る前に確認し、これらの要件を満たすように実装しましょう。",,,,,
,,画面定義,,,,,
,,,画面ID,画面名称,パス,留意点,
,,,PG01,会員登録画面（一般ユーザー）,/register,,
,,,PG02,ログイン画面（一般ユーザー）,/login,,
,,,PG03,勤怠登録画面（一般ユーザー）,/attendance,,
,,,PG04,勤怠一覧画面（一般ユーザー）,/attendance/list,,
,,,PG05,勤怠詳細画面（一般ユーザー）,/attendance/detail/{id},動的セグメントとして記載,
,,,PG06,申請一覧画面（一般ユーザー）,/stamp_correction_request/list,,
,,,PG07,ログイン画面（管理者）,/admin/login,,
,,,PG08,勤怠一覧画面（管理者）,/admin/attendance/list,,
,,,PG09,勤怠詳細画面（管理者）,admin/attendance/{id},動的セグメントとして記載,
,,,PG10,スタッフ一覧画面（管理者）,/admin/staff/list,,
,,,PG11,スタッフ別勤怠一覧画面（管理者）,/admin/attendance/staff/{id},動的セグメントとして記載,
,,,PG12,申請一覧画面（管理者）,/stamp_correction_request/list,一般ユーザーと同じパスを使用。認証ミドルウェアで区別,
,,,PG13,修正申請承認画面（管理者）,/stamp_correction_request/approve/{attendance_correct_request_id},動的セグメントとして記載,
,,,,,,,
,,デザイン要件  * こちらはアプリケーション全体に適用されます。,,,,,
,,,ID,項目,要件,詳細,留意点
,,,DG01,UI素材,参考デザインに準拠すること,Figmaデザインを参照してデザインを行うこと,
,,,DG02,レスポンシブ対応,画面幅を変更してもレイアウトが崩れないこと,PC (1400-1540px) で崩れない,